id,race,gender,sex.worker,pimp,sex.work.client,drug.dealer,drug.cook,thief,retired,housewife,disabled,unemployed,homeless
1,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
2,White,Female,Yes,No,No,No,No,No,No,Yes,No,Yes,No
3,White,Male,No,No,Yes,No,No,No,Yes,No,No,No,No
4,Other,Female,No,No,No,No,No,No,No,No,No,No,No
5,White,Male,No,No,Yes,Yes,Yes,No,No,No,No,No,No
6,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
7,White,Male,No,No,No,No,No,No,No,No,No,No,No
8,White,Male,No,No,No,No,No,No,No,No,No,No,No
9,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
10,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
11,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
12,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
13,White,Female,No,No,No,Yes,No,No,No,No,No,Yes,No
14,White,Female,No,No,No,No,No,No,No,No,No,Yes,No
15,White,Male,No,No,No,No,No,No,Yes,No,No,No,No
16,Black,Female,Yes,No,No,No,No,Yes,No,No,No,Yes,No
17,Other,Female,Yes,No,No,No,No,No,No,Yes,No,No,No
18,White,Male,No,No,No,No,No,No,No,No,No,No,No
19,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
20,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
21,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
22,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
23,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
24,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
25,Black,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
26,Black,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
27,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
28,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
29,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
30,White,Female,No,No,No,No,No,No,No,No,No,No,No
31,White,Female,No,No,No,No,No,No,No,No,Yes,No,No
32,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
33,White,Male,No,No,Yes,No,No,No,No,No,No,No,Yes
34,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
35,Black,Female,Yes,No,No,No,No,No,No,Yes,No,No,No
36,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
37,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
38,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
39,White,Female,Yes,No,No,Yes,No,No,No,No,No,No,No
40,White,Female,Yes,No,No,No,No,No,No,No,Yes,Yes,No
41,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
42,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,Yes
43,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
44,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
45,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
46,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
47,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
48,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
49,Black,Female,Yes,No,No,No,No,No,No,No,Yes,Yes,No
50,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
51,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
52,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
53,White,Female,Yes,No,No,No,No,No,No,No,Yes,Yes,No
54,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
55,Black,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
56,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
57,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
58,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
59,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
60,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
61,White,Male,No,No,No,No,No,No,No,No,No,No,No
62,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
63,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
64,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
65,Asian/PI,Female,Yes,No,No,No,No,No,No,No,No,No,No
66,White,Male,No,No,No,No,No,No,No,No,No,No,No
67,Black,Female,Yes,No,No,No,No,No,No,No,No,No,No
68,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
69,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
70,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
71,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
72,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
73,White,Male,No,Yes,No,No,No,No,No,No,No,No,No
74,Black,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
75,White,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,No
76,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
77,White,Female,Yes,No,No,No,No,No,No,No,No,No,No
78,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
79,White,Male,No,No,Yes,No,No,No,No,No,No,Yes,No
80,White,Female,No,No,No,No,No,No,No,Yes,No,Yes,No
81,White,Male,No,No,Yes,No,No,No,No,No,No,No,No
82,Other,Female,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No
83,White,Female,No,No,No,Yes,No,No,No,Yes,No,Yes,No
84,White,Female,Yes,No,No,No,No,No,No,No,No,Yes,No
85,Black,Male,No,No,Yes,No,No,No,No,No,No,No,No
86,White,Male,No,No,No,No,No,No,No,No,No,Yes,No
87,White,Female,No,No,No,No,No,No,No,No,No,No,No
